"Year, Month, Day",COVID-19 (%),Influenza (%),RSV (%),Date_ISO
"2023, October, 21",1.5,0.2,0.1,10/21/2023
"2023, October, 28",1.7,0.3,0,10/28/2023
"2023, November, 4",1.4,0.2,0.2,11/4/2023
"2023, November, 11",1.3,0.4,0.2,11/11/2023
"2023, November, 18",1.3,0.5,0.5,11/18/2023
"2023, November, 25",1.5,0.9,0.8,11/25/2023
"2023, December, 2",1.4,1.3,1,12/2/2023
"2023, December, 9",1.5,1.6,1.2,12/9/2023
"2023, December, 16",2,1.9,1.4,12/16/2023
"2023, December, 23",2.1,2.5,1.5,12/23/2023
"2023, December, 30",2.3,2.6,1.4,12/30/2023
"2024, January, 6",2.3,2.2,1.5,1/6/2024
"2024, January, 13",2.4,1.6,0.7,1/13/2024
"2024, January, 20",2.2,1.8,0.5,1/20/2024
"2024, January, 27",2.9,1.8,0.5,1/27/2024
"2024, February, 3",2,1.6,0.4,2/3/2024
"2024, February, 10",1.8,1.4,0.2,2/10/2024
"2024, February, 17",1.5,1.1,0.2,2/17/2024
"2024, February, 24",1.4,1.3,0.2,2/24/2024
"2024, March, 2",1.5,1,0.2,3/2/2024
"2024, March, 9",1.1,0.9,0.2,3/9/2024
"2024, March, 16",0.7,1.1,0.1,3/16/2024
"2024, March, 23",0.7,0.9,0.1,3/23/2024
"2024, March, 30",0.7,0.9,0,3/30/2024
"2024, April, 6",0.5,0.6,0,4/6/2024
"2024, April, 13",0.5,0.5,0,4/13/2024
"2024, April, 20",0.4,0.5,0,4/20/2024
"2024, April, 27",0.5,0.8,0,4/27/2024
"2024, May, 4",0.6,0.6,0,5/4/2024
"2024, May, 11",0.4,0.8,0,5/11/2024
"2024, May, 18",0.6,0.5,0.1,5/18/2024
"2024, May, 25",0.5,0.4,0,5/25/2024
"2024, June, 1",0.8,0.4,0,6/1/2024
"2024, June, 8",1,0.5,0,6/8/2024
"2024, June, 15",1,0.4,0,6/15/2024
"2024, June, 22",1.6,0.3,0,6/22/2024
"2024, June, 29",1.6,0.3,0,6/29/2024
"2024, July, 6",1.7,0.2,0,7/6/2024
"2024, July, 13",2.2,0.2,0,7/13/2024
"2024, July, 20",2.4,0.1,0,7/20/2024
"2024, July, 27",2.3,0,0,7/27/2024
"2024, August, 3",2.4,0,0,8/3/2024
"2024, August, 10",2.5,0.1,0,8/10/2024
"2024, August, 17",2.5,0.1,0,8/17/2024
"2024, August, 24",2.2,0.1,0,8/24/2024
"2024, August, 31",2.5,0,0,8/31/2024
"2024, September, 7",2.2,0,0,9/7/2024
"2024, September, 14",2.2,0.1,0,9/14/2024
"2024, September, 21",2.2,0.2,0,9/21/2024
"2024, September, 28",1.9,0.1,0,9/28/2024
"2024, October, 5",1.5,0.1,0,10/5/2024
"2024, October, 12",1.3,0.1,0,10/12/2024
"2024, October, 19",0.8,0.1,0,10/19/2024
"2024, October, 26",0.6,0.1,0,10/26/2024
"2024, November, 2",0.6,0.2,0,11/2/2024
"2024, November, 9",0.3,0.2,0.1,11/9/2024
"2024, November, 16",0.3,0.3,0.1,11/16/2024
"2024, November, 23",0.4,0.4,0.1,11/23/2024
"2024, November, 30",0.4,0.7,0.2,11/30/2024
"2024, December, 7",0.4,1.3,0.3,12/7/2024
"2024, December, 14",0.3,1.9,0.6,12/14/2024
"2024, December, 21",0.4,3.9,0.6,12/21/2024
"2024, December, 28",0.5,5.8,0.9,12/28/2024
"2025, January, 4",0.7,4.8,1,1/4/2025
"2025, January, 11",0.5,3.9,0.5,1/11/2025
"2025, January, 18",0.4,3.8,0.5,1/18/2025
"2025, January, 25",0.5,5.3,0.7,1/25/2025
"2025, February, 8",0.6,9,0.5,2/8/2025
"2025, February, 15",0.8,9.2,0.5,2/15/2025
"2025, February, 22",0.8,8.5,0.4,2/22/2025
"2025, March, 1",0.5,5,0.4,3/1/2025
"2025, March, 8",0.4,3.7,0.3,3/8/2025
"2025, March, 15",0.5,2.7,0.3,3/15/2025
"2025, March, 22",0.5,2,0.2,3/22/2025
"2025, March, 29",0.5,1.5,0.3,3/29/2025
"2025, April, 5",0.4,0.9,0.1,4/5/2025
"2025, April, 12",0.4,0.9,0.2,4/12/2025
"2025, April, 19",0.4,0.8,0.1,4/19/2025
"2025, April, 26",0.3,0.8,0,4/26/2025
"2025, May, 3",0.5,0.4,0,5/3/2025
"2025, May, 10",0.5,0.3,0,5/10/2025
"2025, May, 17",0.4,0.3,0,5/17/2025
"2025, May, 24",0.5,0.4,0,5/24/2025
"2025, May, 31",0.5,0.3,0,5/31/2025
"2025, June, 7",0.6,0.3,0,6/7/2025
"2025, June, 14",0.6,0.3,0,6/14/2025
"2025, June, 21",0.7,0.3,0,6/21/2025
"2025, June, 28",0.9,0.2,0,6/28/2025
"2025, July, 5",0.8,0.1,0,7/5/2025
"2025, July, 12",0.6,0.1,0,7/12/2025
"2025, July, 19",0.7,0.1,0,7/19/2025
"2025, July, 26",0.6,0.1,0,7/26/2025
"2025, August, 2",0.9,0.1,0,8/2/2025
"2025, August, 9",0.8,0.1,0,8/9/2025
"2025, August, 16",1.2,0.1,0,8/16/2025
"2025, August, 23",1.5,0.1,0,8/23/2025
"2025, August, 30",1.3,0.1,0,8/30/2025
